"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"84",28,"smso201","EA Ltd","bs",2000-01-01,2000-01-01,NA,NA,NA,"measurement","gibraltar"
"85",253,"gib29","Gardiners Road","no2",2007-01-30,NA,"kerbside",36.133495,-5.350771,"md_measurement","gibraltar"
"86",168,"gib13","George Don House","no2",2005-02-02,NA,"kerbside",36.147778,-5.351086,"md_measurement","gibraltar"
"87",201,"giblank","Gibraltar Blank Tubes","mpxylene",2005-02-02,2006-11-06,NA,NA,NA,"md_measurement","gibraltar"
"88",202,"giblank","Gibraltar Blank Tubes","oxylene",2005-02-02,2006-11-06,NA,NA,NA,"md_measurement","gibraltar"
"89",197,"giblank","Gibraltar Blank Tubes","no2",2005-02-02,2006-11-06,NA,NA,NA,"md_measurement","gibraltar"
"90",200,"giblank","Gibraltar Blank Tubes","toluene",2005-02-02,2006-11-06,NA,NA,NA,"md_measurement","gibraltar"
"91",199,"giblank","Gibraltar Blank Tubes","ethbenz",2005-02-02,2006-11-06,NA,NA,NA,"md_measurement","gibraltar"
"92",198,"giblank","Gibraltar Blank Tubes","benzene",2005-02-02,2006-11-06,NA,NA,NA,"md_measurement","gibraltar"
"93",145,"gib5","Glacis Road","benzene",2005-02-02,NA,"kerbside",36.146315,-5.353284,"md_measurement","gibraltar"
"94",149,"gib5","Glacis Road","toluene",2005-02-02,NA,"kerbside",36.146315,-5.353284,"md_measurement","gibraltar"
"95",148,"gib5","Glacis Road","oxylene",2005-02-02,NA,"kerbside",36.146315,-5.353284,"md_measurement","gibraltar"
"96",150,"gib5","Glacis Road","no2",2005-02-02,NA,"kerbside",36.146315,-5.353284,"md_measurement","gibraltar"
"97",146,"gib5","Glacis Road","ethbenz",2005-02-02,NA,"kerbside",36.146315,-5.353284,"md_measurement","gibraltar"
"98",147,"gib5","Glacis Road","mpxylene",2005-02-02,NA,"kerbside",36.146315,-5.353284,"md_measurement","gibraltar"
"99",271,"gib30","Governors Meadow House","toluene",2007-01-30,NA,"roadside",36.13022,-5.352562,"md_measurement","gibraltar"
"100",270,"gib30","Governors Meadow House","oxylene",2007-01-30,NA,"roadside",36.13022,-5.352562,"md_measurement","gibraltar"
"101",269,"gib30","Governors Meadow House","mpxylene",2007-01-30,NA,"roadside",36.13022,-5.352562,"md_measurement","gibraltar"
"102",268,"gib30","Governors Meadow House","ethbenz",2007-01-30,NA,"roadside",36.13022,-5.352562,"md_measurement","gibraltar"
"103",267,"gib30","Governors Meadow House","benzene",2007-01-30,NA,"roadside",36.13022,-5.352562,"md_measurement","gibraltar"
"104",254,"gib30","Governors Meadow House","no2",2007-01-30,NA,"roadside",36.13022,-5.352562,"md_measurement","gibraltar"
"105",161,"gib7","Harbour Views","toluene",2005-02-02,NA,"suburban",36.146002,-5.36131,"md_measurement","gibraltar"
"106",162,"gib7","Harbour Views","no2",2005-02-02,NA,"suburban",36.146002,-5.36131,"md_measurement","gibraltar"
"107",157,"gib7","Harbour Views","benzene",2005-02-02,NA,"suburban",36.146002,-5.36131,"md_measurement","gibraltar"
"108",160,"gib7","Harbour Views","oxylene",2005-02-02,NA,"suburban",36.146002,-5.36131,"md_measurement","gibraltar"
"109",159,"gib7","Harbour Views","mpxylene",2005-02-02,NA,"suburban",36.146002,-5.36131,"md_measurement","gibraltar"
"110",158,"gib7","Harbour Views","ethbenz",2005-02-02,NA,"suburban",36.146002,-5.36131,"md_measurement","gibraltar"
"111",135,"gib3","Jumpers","mpxylene",2005-02-02,NA,"kerbside",36.128969,-5.352105,"md_measurement","gibraltar"
"112",133,"gib3","Jumpers","benzene",2005-02-02,NA,"kerbside",36.128969,-5.352105,"md_measurement","gibraltar"
"113",136,"gib3","Jumpers","oxylene",2005-02-02,NA,"kerbside",36.128969,-5.352105,"md_measurement","gibraltar"
"114",134,"gib3","Jumpers","ethbenz",2005-02-02,NA,"kerbside",36.128969,-5.352105,"md_measurement","gibraltar"
"115",138,"gib3","Jumpers","no2",2005-02-02,NA,"kerbside",36.128969,-5.352105,"md_measurement","gibraltar"
"116",137,"gib3","Jumpers","toluene",2005-02-02,NA,"kerbside",36.128969,-5.352105,"md_measurement","gibraltar"
"117",183,"gib17","Kings Lines Fuel Depot","oxylene",2005-02-02,NA,"suburban",36.14593,-5.35123,"md_measurement","gibraltar"
"118",182,"gib17","Kings Lines Fuel Depot","mpxylene",2005-02-02,NA,"suburban",36.14593,-5.35123,"md_measurement","gibraltar"
"119",181,"gib17","Kings Lines Fuel Depot","ethbenz",2005-02-02,NA,"suburban",36.14593,-5.35123,"md_measurement","gibraltar"
"120",180,"gib17","Kings Lines Fuel Depot","benzene",2005-02-02,NA,"suburban",36.14593,-5.35123,"md_measurement","gibraltar"
"121",184,"gib17","Kings Lines Fuel Depot","toluene",2005-02-02,NA,"suburban",36.14593,-5.35123,"md_measurement","gibraltar"
"122",179,"gib16","Laguna Estate","toluene",2005-02-02,NA,"suburban",36.14569,-5.35057,"md_measurement","gibraltar"
"123",178,"gib16","Laguna Estate","oxylene",2005-02-02,NA,"suburban",36.14569,-5.35057,"md_measurement","gibraltar"
"124",177,"gib16","Laguna Estate","mpxylene",2005-02-02,NA,"suburban",36.14569,-5.35057,"md_measurement","gibraltar"
"125",176,"gib16","Laguna Estate","ethbenz",2005-02-02,NA,"suburban",36.14569,-5.35057,"md_measurement","gibraltar"
"126",175,"gib16","Laguna Estate","benzene",2005-02-02,NA,"suburban",36.14569,-5.35057,"md_measurement","gibraltar"
"127",247,"gib23","Lathbury Industrial Park","no2",2007-01-30,NA,"urban_background",36.118744,-5.344721,"md_measurement","gibraltar"
"128",164,"gib9","Lime Kiln Road","no2",2005-02-02,NA,"kerbside",36.13931,-5.350889,"md_measurement","gibraltar"
"129",166,"gib11","Main Street","no2",2005-02-02,NA,"suburban",36.14399,-5.35296,"md_measurement","gibraltar"
"130",189,"gib18","Moorish Castle Estate","toluene",2005-02-02,NA,"suburban",36.14422,-5.3508,"md_measurement","gibraltar"
"131",188,"gib18","Moorish Castle Estate","oxylene",2005-02-02,NA,"suburban",36.14422,-5.3508,"md_measurement","gibraltar"
"132",187,"gib18","Moorish Castle Estate","mpxylene",2005-02-02,NA,"suburban",36.14422,-5.3508,"md_measurement","gibraltar"
"133",186,"gib18","Moorish Castle Estate","ethbenz",2005-02-02,NA,"suburban",36.14422,-5.3508,"md_measurement","gibraltar"
