"","date","date_end","site","site_name","no2"
"216",2016-04-29 14:00:00,2016-04-29 15:00:00,"gib1","Rosia Road",36.3375
"217",2016-04-29 15:00:00,2016-04-29 16:00:00,"gib1","Rosia Road",24.8625
"218",2016-04-29 16:00:00,2016-04-29 17:00:00,"gib1","Rosia Road",26.775
"219",2016-04-29 17:00:00,2016-04-29 18:00:00,"gib1","Rosia Road",24.8625
"220",2016-04-29 18:00:00,2016-04-29 19:00:00,"gib1","Rosia Road",22.95
"221",2016-04-29 19:00:00,2016-04-29 20:00:00,"gib1","Rosia Road",24.8625
"222",2016-04-29 20:00:00,2016-04-29 21:00:00,"gib1","Rosia Road",21.0375
"223",2016-04-29 21:00:00,2016-04-29 22:00:00,"gib1","Rosia Road",11.475
"224",2016-04-29 22:00:00,2016-04-29 23:00:00,"gib1","Rosia Road",11.475
"225",2016-04-30 00:00:00,2016-04-30 01:00:00,"gib1","Rosia Road",1.9125
"226",2016-04-30 01:00:00,2016-04-30 02:00:00,"gib1","Rosia Road",0
"227",2016-04-30 02:00:00,2016-04-30 03:00:00,"gib1","Rosia Road",1.9125
"228",2016-04-30 03:00:00,2016-04-30 04:00:00,"gib1","Rosia Road",1.9125
"229",2016-04-30 04:00:00,2016-04-30 05:00:00,"gib1","Rosia Road",0
"230",2016-04-30 05:00:00,2016-04-30 06:00:00,"gib1","Rosia Road",3.825
"231",2016-04-30 06:00:00,2016-04-30 07:00:00,"gib1","Rosia Road",3.825
"232",2016-04-30 07:00:00,2016-04-30 08:00:00,"gib1","Rosia Road",9.5625
"233",2016-04-30 08:00:00,2016-04-30 09:00:00,"gib1","Rosia Road",17.2125
"234",2016-04-30 09:00:00,2016-04-30 10:00:00,"gib1","Rosia Road",15.3
"235",2016-04-30 10:00:00,2016-04-30 11:00:00,"gib1","Rosia Road",19.125
"236",2016-04-30 11:00:00,2016-04-30 12:00:00,"gib1","Rosia Road",30.6
"237",2016-04-30 12:00:00,2016-04-30 13:00:00,"gib1","Rosia Road",26.775
"238",2016-04-30 13:00:00,2016-04-30 14:00:00,"gib1","Rosia Road",26.775
"239",2016-04-30 14:00:00,2016-04-30 15:00:00,"gib1","Rosia Road",32.5125
"240",2016-04-30 15:00:00,2016-04-30 16:00:00,"gib1","Rosia Road",34.425
"241",2016-04-30 16:00:00,2016-04-30 17:00:00,"gib1","Rosia Road",30.6
"242",2016-04-30 17:00:00,2016-04-30 18:00:00,"gib1","Rosia Road",55.4625
"243",2016-04-30 18:00:00,2016-04-30 19:00:00,"gib1","Rosia Road",74.5875
"244",2016-04-30 19:00:00,2016-04-30 20:00:00,"gib1","Rosia Road",61.2
"245",2016-04-30 20:00:00,2016-04-30 21:00:00,"gib1","Rosia Road",72.675
"246",2016-04-30 21:00:00,2016-04-30 22:00:00,"gib1","Rosia Road",74.5875
"247",2016-04-30 22:00:00,2016-04-30 23:00:00,"gib1","Rosia Road",43.9875
"248",2016-05-01 00:00:00,2016-05-01 01:00:00,"gib1","Rosia Road",5.7375
"249",2016-05-01 01:00:00,2016-05-01 02:00:00,"gib1","Rosia Road",7.65
"250",2016-05-01 02:00:00,2016-05-01 03:00:00,"gib1","Rosia Road",7.65
"251",2016-05-01 03:00:00,2016-05-01 04:00:00,"gib1","Rosia Road",5.7375
"252",2016-05-01 04:00:00,2016-05-01 05:00:00,"gib1","Rosia Road",3.825
"253",2016-05-01 05:00:00,2016-05-01 06:00:00,"gib1","Rosia Road",5.7375
"254",2016-05-01 06:00:00,2016-05-01 07:00:00,"gib1","Rosia Road",7.65
"255",2016-05-01 07:00:00,2016-05-01 08:00:00,"gib1","Rosia Road",5.7375
"256",2016-05-01 08:00:00,2016-05-01 09:00:00,"gib1","Rosia Road",9.5625
"257",2016-05-01 09:00:00,2016-05-01 10:00:00,"gib1","Rosia Road",7.65
"258",2016-05-01 10:00:00,2016-05-01 11:00:00,"gib1","Rosia Road",11.475
"259",2016-05-01 11:00:00,2016-05-01 12:00:00,"gib1","Rosia Road",13.3875
"260",2016-05-01 12:00:00,2016-05-01 13:00:00,"gib1","Rosia Road",15.3
"261",2016-05-01 13:00:00,2016-05-01 14:00:00,"gib1","Rosia Road",15.3
"262",2016-05-01 14:00:00,2016-05-01 15:00:00,"gib1","Rosia Road",17.2125
"263",2016-05-01 15:00:00,2016-05-01 16:00:00,"gib1","Rosia Road",24.8625
"264",2016-05-01 16:00:00,2016-05-01 17:00:00,"gib1","Rosia Road",24.8625
"265",2016-05-01 17:00:00,2016-05-01 18:00:00,"gib1","Rosia Road",26.775
"266",2016-05-01 18:00:00,2016-05-01 19:00:00,"gib1","Rosia Road",13.3875
"267",2016-05-01 19:00:00,2016-05-01 20:00:00,"gib1","Rosia Road",11.475
"268",2016-05-01 20:00:00,2016-05-01 21:00:00,"gib1","Rosia Road",13.3875
"269",2016-05-01 21:00:00,2016-05-01 22:00:00,"gib1","Rosia Road",9.5625
"270",2016-05-01 22:00:00,2016-05-01 23:00:00,"gib1","Rosia Road",15.3
"271",2016-05-02 00:00:00,2016-05-02 01:00:00,"gib1","Rosia Road",11.475
"272",2016-05-02 01:00:00,2016-05-02 02:00:00,"gib1","Rosia Road",9.5625
"273",2016-05-02 02:00:00,2016-05-02 03:00:00,"gib1","Rosia Road",9.5625
"274",2016-05-02 03:00:00,2016-05-02 04:00:00,"gib1","Rosia Road",3.825
"275",2016-05-02 04:00:00,2016-05-02 05:00:00,"gib1","Rosia Road",3.825
"276",2016-05-02 05:00:00,2016-05-02 06:00:00,"gib1","Rosia Road",3.825
"277",2016-05-02 06:00:00,2016-05-02 07:00:00,"gib1","Rosia Road",7.65
"278",2016-05-02 07:00:00,2016-05-02 08:00:00,"gib1","Rosia Road",7.65
"279",2016-05-02 08:00:00,2016-05-02 09:00:00,"gib1","Rosia Road",9.5625
"280",2016-05-02 09:00:00,2016-05-02 10:00:00,"gib1","Rosia Road",9.5625
"281",2016-05-02 10:00:00,2016-05-02 11:00:00,"gib1","Rosia Road",11.475
