"","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","confidentiality","informationstatus","locationsetreference","elaborateddataid","suppliercalculateddataquality","openlrbinary","predefinedlocationreference","freeflowspeed","freeflowtraveltime","traveltime","averagespeed"
"85",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc307519b488a294118ffc6c19",51,"C/wwdRm0iAopBAEY/8YMGQ==","OpenLR",0,0,0,0
"86",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc307519b488c2100207c11",50,"C/wwdRm0iAwhAAACAAcMEQ==","OpenLR",0,0,0,0
"87",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc31d219b446a2960d10dbca",80,"C/wx0hm0RgopBgDRANsMCg==","OpenLR",0,0,0,0
"88",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc31d219b446b3a2ff8203ac1",87,"C/wx0hm0Rgs6Av+CADoMAQ==","OpenLR",0,0,0,0
"89",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc315c19b429a394ff1509ec3",95,"C/wxXBm0KQo5BP8VAJ4MAw==","OpenLR",0,0,0,0
"90",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc315c19b429c310fffefff9c1",96,"C/wxXBm0KQwxAP/+//kMAQ==","OpenLR",0,0,0,0
"91",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc316519b42ab242073078c17",50,"C/wxZRm0KgskAgBzAHgMFw==","OpenLR",0,0,0,0
"92",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc319719b461b333ff82ff87c3",96,"C/wxlxm0YQszA/+C/4cMAw==","OpenLR",0,0,0,0
"93",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc319b19b462b292076ffc5b1a",54,"C/wxmxm0YgspAgB2/8ULGg==","OpenLR",0,0,0,0
"94",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc322a19b4a4a2f5ff44ff37a7",94,"C/wyKhm0pAovBf9E/zcKBw==","OpenLR",0,0,0,0
"95",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc322a19b4a4c2b0016fff8c19",50,"C/wyKhm0pAwrAAAW//gMGQ==","OpenLR",0,0,0,0
"96",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc323319b4aca202025089a10",79,"C/wyMxm0rAogAgAlAIkKEA==","OpenLR",0,0,0,0
"97",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc323319b4acc370fff4ffffc7",87,"C/wyMxm0rAw3AP/0//8MBw==","OpenLR",0,0,0,0
"98",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc324319b61b27801cfe87a5f27",75,"C/wyQxm2AQsnCAAc/ocKXyc=","OpenLR",0,0,0,0
