"","date","date_end","site","site_name","no2"
"184",2016-04-20 00:00:00,2016-04-20 01:00:00,"gi4","Withams Road",3.825
"185",2016-04-20 01:00:00,2016-04-20 02:00:00,"gi4","Withams Road",3.825
"186",2016-04-20 02:00:00,2016-04-20 03:00:00,"gi4","Withams Road",7.65
"187",2016-04-20 03:00:00,2016-04-20 04:00:00,"gi4","Withams Road",9.5625
"188",2016-04-20 04:00:00,2016-04-20 05:00:00,"gi4","Withams Road",15.3
"189",2016-04-20 05:00:00,2016-04-20 06:00:00,"gi4","Withams Road",19.125
"190",2016-04-20 06:00:00,2016-04-20 07:00:00,"gi4","Withams Road",17.2125
"191",2016-04-20 07:00:00,2016-04-20 08:00:00,"gi4","Withams Road",36.3375
"192",2016-04-20 08:00:00,2016-04-20 09:00:00,"gi4","Withams Road",17.2125
"193",2016-04-20 09:00:00,2016-04-20 10:00:00,"gi4","Withams Road",21.0375
"194",2016-04-20 10:00:00,2016-04-20 11:00:00,"gi4","Withams Road",26.775
"195",2016-04-20 11:00:00,2016-04-20 12:00:00,"gi4","Withams Road",34.425
"196",2016-04-20 12:00:00,2016-04-20 13:00:00,"gi4","Withams Road",28.6875
"197",2016-04-20 13:00:00,2016-04-20 14:00:00,"gi4","Withams Road",22.95
"198",2016-04-20 14:00:00,2016-04-20 15:00:00,"gi4","Withams Road",38.25
"199",2016-04-20 15:00:00,2016-04-20 16:00:00,"gi4","Withams Road",82.2375
"200",2016-04-20 16:00:00,2016-04-20 17:00:00,"gi4","Withams Road",89.8875
"201",2016-04-20 17:00:00,2016-04-20 18:00:00,"gi4","Withams Road",74.5875
"202",2016-04-20 18:00:00,2016-04-20 19:00:00,"gi4","Withams Road",42.075
"203",2016-04-20 19:00:00,2016-04-20 20:00:00,"gi4","Withams Road",53.55
"204",2016-04-20 20:00:00,2016-04-20 21:00:00,"gi4","Withams Road",55.4625
"205",2016-04-20 21:00:00,2016-04-20 22:00:00,"gi4","Withams Road",87.975
"206",2016-04-20 22:00:00,2016-04-20 23:00:00,"gi4","Withams Road",49.725
"207",2016-04-21 00:00:00,2016-04-21 01:00:00,"gi4","Withams Road",72.675
"208",2016-04-21 01:00:00,2016-04-21 02:00:00,"gi4","Withams Road",38.25
"209",2016-04-21 02:00:00,2016-04-21 03:00:00,"gi4","Withams Road",49.725
"210",2016-04-21 03:00:00,2016-04-21 04:00:00,"gi4","Withams Road",45.9
"211",2016-04-21 04:00:00,2016-04-21 05:00:00,"gi4","Withams Road",45.9
"212",2016-04-21 05:00:00,2016-04-21 06:00:00,"gi4","Withams Road",36.3375
"213",2016-04-21 06:00:00,2016-04-21 07:00:00,"gi4","Withams Road",45.9
"214",2016-04-21 07:00:00,2016-04-21 08:00:00,"gi4","Withams Road",51.6375
"215",2016-04-21 08:00:00,2016-04-21 09:00:00,"gi4","Withams Road",68.85
"216",2016-04-21 09:00:00,2016-04-21 10:00:00,"gi4","Withams Road",110.925
